Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
Meager Creek (S60),,,,,,0,59,6.2,,,,,,,,,,,,,,,,,,,,
Meager Creek (N.S-B.G 1974),,27034,,,,0,59,7.2,1.2,450,47,81,25,164,2,675,-1,110,468,,,-0.2,,,-0.05,0.1,,0.2
Meager Creek (N.S-B.G 1974),,27117,MDH-1,,,0,,,,430,27,85,,,,650,,,513,,,,,,,,,
Meager Creek (N.S-B.G 1974),,27117,MDH-2,,,0,,,,440,27,85,,,,,,,,,,,,,,,,
Meager Creek (N.S-B.G 1974),,27117,MDH-3,,,0,,,,,,,,151,,,,,,,,,,,,,,
Meager Creek (Souther 1976),,,,,,0,56,,,410,84,78,24.5,201,,,,,,,,,,,,,,
Meager Creek (Souther 1976),,,,,,0,58,,,440,91,89,27.3,220,,,,,,,,,,,,,,
Meager Creek (Souther 1976),,,,,,0,55,,,450,47,81,25,164,,675,,110,468,,,,,,,,,
Meager Creek (Hammerstrom 1977),,27974,01,,,0,31.4,6.5,,165,23.7,92,15.4,56,,133,,25,503,,,,,,,,0.45,0.45
Meager Creek (Hammerstrom 1977),,27974,03,,,0,30,6.8,,248,27,83.5,17.1,54,,295,,50,260,,,,,,,,0.5,0.95
Meager Creek (Hammerstrom 1977),,27975,05,,,0,48.5,6.4,,347,44,92,24.8,80.5,,428,,65,450,,,,,,,,0,0.92
Meager Creek (Hammerstrom 1977),,27975,06 (GSC1),,,0,56,6.05,,377,46.2,94,34.1,92,,466,,170,458,,,,,,,,0.15,0.65
Meager Creek (Hammerstrom 1977),,28094,17 (GSC1),,,0,56.5,6.15,,410,52,105,40.5,96,,500,,180,686,,,,,,,,0.3,0.65
Meager Creek (Hammerstrom 1977),,28094,18,,,0,50,6.6,,390,48.5,92,31,102,,500,,145,595,,,,,,,,0,0.34
Meager Creek (Grasby 2000),,,,466958,5602533,0,47,7.2,1.15,419,44.6,77.5,24.7,172,,543,,125,445,,,,,,2.4,,.05,0.257
Meager Creek (vent #19; Clark et al 1980),,29007,,467136,5602816,0,49.8,6.24,,440,50,78,24.5,142,,605,,130,437,,,,,,,,,
"Meager Creek main vent (Table 1, GT7, N.S-B.G 1975)",,27332,,466958,5602533,0,57.5,6.6,,330,54,51,15,150,,600,,190,504,,,,,,,,,
"Meager Creek main vent (NSBG 1981; Michael and Fritz, 1979)",,28836,,466958,5602533,0,,,,435,55.7,85,26,189,,661,,152,330,,,,,,,,,
