Sample Name,Amorphous Silica
Meager Creek (S60),0
Meager Creek (N.S-B.G 1974),44
Meager Creek (N.S-B.G 1974),0
Meager Creek (N.S-B.G 1974),0
Meager Creek (N.S-B.G 1974),39
Meager Creek (Souther 1976),57
Meager Creek (Souther 1976),63
Meager Creek (Souther 1976),44
Meager Creek (Hammerstrom 1977),-9
Meager Creek (Hammerstrom 1977),-11
Meager Creek (Hammerstrom 1977),6
Meager Creek (Hammerstrom 1977),13
Meager Creek (Hammerstrom 1977),15
Meager Creek (Hammerstrom 1977),18
Meager Creek (Grasby 2000),47
Meager Creek (vent #19; Clark et al 1980),36
"Meager Creek main vent (Table 1, GT7, N.S-B.G 1975)",39
"Meager Creek main vent (NSBG 1981; Michael and Fritz, 1979)",53
"Meager Creek main vent (NSBG, 1981; NSBG 1980)",43
"Meager Creek main vent (NSBG, 1981; Shenker, 1980)",46
"Meager Creek main vent (NSBG, 1981; Shenker, 1980)",50
Upper Meager Creek (Spring 79D) (NSBG 1975),21
Pebble Creek (S59),#REF!
Pebble Creek (Souther 1976),#REF!
Pebble Creek main vent (N.S-B.G 1974),0
Pebble Creek main vent (Hammerstrom 1977),16
Pebble Creek main vent (Hammerstrom 1977),4
Pebble Creek main vent (NSBG 1981; Michael and Fritz 1979),-20
Pebble Creek main vent (NSBG 1981; Michael and Fritz 1979),-7
Pebble Creek main vent (NSBG 1981; Shenker 1980),9
Pebble Creek main vent (NSBG 1981; Clark et al 1980),5
Pebble Creek (Hammerstrom 1977),8
Pebble Creek (Hammerstrom 1977),6
Pebble Creek vent # 7 (NSBG 1981; Clark et al 1980),-23
Placid Hot Springs Vent 2 (NSBG 1981; Clark et al 1980),-19
"No Good Warm Spring #1 (NSBG 1981; Hammerstrom and Brown, 1977)",-1
"No Good Warm Spring #1 (NSBG 1981; Clark et al, 1980)",#REF!
"No Good Warm Spring #1 (NSBG 1981; Clark et al, 1980)",#REF!
"No Good Warm Spring #1 (NSBG 1981; Shenker, 1980)",34
No Good Warm Spring #2 (NSBG 1981; NSBG 1975),#REF!
"No Good Warm Spring #2 (NSBG 1981; Hammerstrom and Brown, 1977)",#REF!
"No Good Warm Spring #2 (NSBG 1981; Clark et al, 1980)",-11
"No Good Warm Spring #2 (NSBG 1981; Clark et al, 1980)",0
"No Good Warm Spring #2 (NSBG 1981; Clark et al, 1980)",0
Boundary Cold Springs (NSBG 1981; Clark et al 1980),26
CaCO3 Cold Springs (NSBG 1981; NSBG 1975),21
CaCO3 Cold Springs (NSBG 1981; Shenker 1980),-9
CaCO3 Cold Springs (NSBG 1981; Clark et al 1980),17
Moria Cold Spring #1 (Clark et al 1980),0
Problem Cold Spring #1 (Clark et al 1980),22
Fall Creek Cold Spring #1 (Clark et al 1980),#REF!
L1-78D (78-H-1) Cold Spring #1 (Clark et al 1980),#REF!
Affliction Creek Cold Spring at toe of Afflict Glacier (NSBG 1977),-78
"EMR-1 (NSBG 1981; Hammerstrom and Brown, 1977)",#REF!
"EMR-1 (NSBG 1981; Hammerstrom and Brown, 1977)",#REF!
"EMR-1 (NSBG 1981; Michael and Fritz, 1979)",-45
"EMR-1 (NSBG 1981; Michael and Fritz, 1979)",-65
"EMR-1 (NSBG 1981; Clark et al, 1980)",-68
"EMR-1 (NSBG 1981; Shenker, 1980)",#REF!
"M1-74D (NSBG 1981; Clark et al, 1980)",#REF!
"M1-74D (NSBG 1981; Clark et al, 1980)",-75
M2-75D (NSBG 1981; NSBG 1975),-63
M2-75D (NSBG 1981; Clark et al 1980),-12
"M6-79D (NSBG 1981, NSBG 1980)",-26
,#REF!
M7-79D (NSBG 1981),#REF!
M12-80D (NSBG 1981),10
M12-80D (NSBG 1981),35
MC-1  MM-32,-45
MC-1  MM-35,0
MC-1  MM-36,114
MC-1  15/03/1982,0
MC-1  17/03/1982,0
MC-1  24/03/1982,0
MC-1  31/03/1982,0
MC-1  04/04/1982,0
MC-1  20/04/1982,90
MC-1  10/06/1982,97
MC-1  07/07/1982,85
MC-1  09/07/1982,85
MC-1  22/07/1982am1,80
MC-1  22/07/1982pm2,94
MC-1  22/07/1982web1,100
